epoch,pr_auc,roc_auc,f1
1,0.012044,0.070611,0.000000
2,0.012074,0.071696,0.000000
3,0.015807,0.310750,0.000000
4,0.033613,0.682249,0.000000
5,0.054107,0.808185,0.000000
6,0.069451,0.850000,0.000000
7,0.076997,0.862919,0.000000
8,0.082330,0.872091,0.000000
9,0.084702,0.878501,0.000000
10,0.083652,0.876529,0.000000
1,0.014654,0.268047,0.000000
2,0.023758,0.533235,0.000000
3,0.048648,0.723274,0.000000
4,0.070064,0.815089,0.000000
5,0.068992,0.819034,0.000000
6,0.066430,0.815976,0.000000
7,0.070417,0.830868,0.000000
8,0.084050,0.867357,0.000000
9,0.109313,0.911538,0.000000
10,0.122921,0.918442,0.000000
1,0.034264,0.655227,0.000000
2,0.032564,0.650986,0.000000
3,0.033202,0.673866,0.000000
4,0.034503,0.691420,0.000000
5,0.034248,0.686292,0.000000
6,0.034179,0.676627,0.000000
7,0.033762,0.665582,0.000000
8,0.033713,0.662919,0.000000
9,0.033686,0.662327,0.000000
10,0.033053,0.657396,0.000000
1,0.019452,0.452367,0.000000
2,0.021865,0.505819,0.000000
3,0.024470,0.554142,0.000000
4,0.029003,0.626233,0.000000
5,0.031680,0.659073,0.000000
6,0.033419,0.673964,0.000000
7,0.034218,0.676233,0.000000
8,0.034960,0.678698,0.000000
9,0.035202,0.678895,0.000000
10,0.035041,0.676529,0.000000
1,0.035904,0.679290,0.049587
2,0.036658,0.686982,0.062053
3,0.035759,0.684517,0.060060
4,0.034986,0.683432,0.066869
5,0.034376,0.682446,0.069204
6,0.031914,0.655621,0.056180
7,0.027237,0.587870,0.046875
8,0.024091,0.529586,0.018868
9,0.022266,0.496252,0.000000
10,0.019991,0.451972,0.000000
11,0.017945,0.397732,0.000000
12,0.017364,0.382249,0.000000
13,0.016200,0.340335,0.000000
14,0.015097,0.293787,0.000000
15,0.014272,0.251381,0.000000
16,0.013878,0.226923,0.000000
17,0.013720,0.215385,0.000000
18,0.013821,0.220316,0.000000
19,0.013620,0.210059,0.000000
20,0.013609,0.210256,0.000000
21,0.013576,0.208974,0.000000
22,0.013457,0.201282,0.000000
23,0.013402,0.197436,0.000000
24,0.013391,0.196450,0.000000
25,0.013366,0.195069,0.000000
26,0.013361,0.194675,0.000000
27,0.013342,0.193393,0.000000
28,0.013346,0.193393,0.000000
29,0.013357,0.194083,0.000000
30,0.013363,0.194773,0.000000
